station_id,station_name,station_latitude,station_longitude,bike_availability_coef,station_popularity
3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,0.08199018920812895,5474
4.0,Cyril Magnin St at Ellis St,37.78588062694133,-122.4089150084319,0.019434628975265045,1121
5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392,0.004180213655364584,4297
6.0,The Embarcadero at Sansome St,37.80477,-122.403234,0.15634344297308844,4316
7.0,Frank H Ogawa Plaza,37.8045623549303,-122.27173805236816,-0.05548216644649928,1556
8.0,The Embarcadero at Vallejo St,37.799953,-122.398525,0.09239940387481371,1280
9.0,Broadway at Battery St,37.79857210846256,-122.40086898207666,-0.14602346805736643,1646
10.0,Washington St at Kearny St,37.79539293725452,-122.4047702550888,0.1586206896551724,1602
11.0,Davis St at Jackson St,37.79728,-122.398436,0.009493670886076,1887
13.0,Commercial St at Montgomery St,37.794231,-122.402923,0.023192360163710735,1449
14.0,Clay St at Battery St,37.795001,-122.39997,0.09456264775413714,1612
15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,0.1935893367185021,5692
16.0,Steuart St at Market St,37.79413,-122.39443,0.03224381625441697,4455
17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086,-0.01479654747225645,3268
18.0,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596,-0.07109004739336489,437
19.0,Post St at Kearny St,37.788975,-122.403452,0.04026354319180092,2677
20.0,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,-0.029629629629629672,1918
21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,0.21698930944813632,6171
22.0,Howard St at Beale St,37.789756,-122.394643,-0.12487309644670042,4186
23.0,The Embarcadero at Steuart St,37.791464,-122.391034,-0.004243281471004279,2834
24.0,Spear St at Folsom St,37.7896767,-122.3904285,0.0026881720430107503,2229
25.0,Howard St at 2nd St,37.787521780456245,-122.39740490913393,-0.10465116279069764,1629
26.0,1st St at Folsom St,37.78729,-122.39438,0.04092071611253201,1532
27.0,Beale St at Harrison St,37.7880593,-122.3918648,0.057303370786516816,3458
28.0,The Embarcadero at Bryant St,37.78716801474664,-122.38809792330358,-0.06492027334851946,1813
29.0,O'Farrell St at Divisadero St,37.7824046019341,-122.43944585323337,-0.08771929824561409,714
30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,0.1020905923344948,5447
31.0,Raymond Kimbell Playground,37.78381270927812,-122.4345588684082,-0.014018691588784993,862
33.0,Golden Gate Ave at Hyde St,37.7816495,-122.4154077,0.043835616438356206,714
34.0,Father Alfred E Boeddeker Park,37.7839879,-122.412408,-0.048484848484848575,676
35.0,Cahill Park,37.32911866814779,-121.90457582473756,-0.20238095238095233,185
36.0,Folsom St at 3rd St,37.78383,-122.39887,0.08179631114675223,2392
37.0,2nd St at Folsom St,37.78499972833808,-122.39593561749642,-0.06766917293233088,275
39.0,Scott St at Golden Gate Ave,37.7789994,-122.4368608,-0.6853932584269662,478
41.0,Golden Gate Ave at Polk St,37.78127,-122.41874,-0.11205432937181659,1244
42.0,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823,-0.05293276108726763,1435
43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,-0.05081300813008127,2018
44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382,0.1482977495672244,3209
46.0,San Antonio Park,37.79013985185364,-122.24237322807312,0.1311475409836066,114
47.0,4th St at Harrison St,37.78095459960753,-122.39974915981291,-0.024852071005917242,1711
49.0,S Park St at 3rd St,37.7807601,-122.3949894,-0.01908396946564883,1587
50.0,2nd St at Townsend St,37.780526,-122.390288,-0.0209958008398321,3369
51.0,Parker Ave at McAllister St,37.77610091264586,-122.4530929327011,0.2222222222222222,16
52.0,McAllister St at Baker St,37.7774157,-122.4418376,-0.5028248587570621,886
53.0,Grove St at Divisadero,37.775946,-122.4377775,-0.2286282306163021,1121
54.0,Alamo Square (Steiner St at Fulton St),37.77754677017323,-122.43327409029006,-0.303964757709251,523
55.0,Webster St at Grove St,37.7770527,-122.4295585,-0.2970822281167109,866
56.0,Koshland Park,37.77341396997343,-122.427316904068,-0.2342857142857142,782
58.0,Market St at 10th St,37.776619,-122.417385,0.016176867080075485,7358
59.0,S Van Ness Ave at Market St,37.774814,-122.418954,-0.10762331838565031,1880
60.0,8th St at Ringold St,37.77452040113685,-122.4094493687153,-0.08600000000000008,2086
61.0,Howard St at 8th St,37.7765126,-122.4113061,-0.033717105263157965,2473
62.0,Victoria Manalo Draves Park,37.77779057034257,-122.40643188357352,0.003875968992248069,1545
63.0,Bryant St at 6th St,37.775910222333366,-122.40257500673576,0.14492753623188404,640
64.0,5th St at Brannan St,37.7767539,-122.3990176,0.05561735261401557,1748
66.0,3rd St at Townsend St,37.77874161153677,-122.39274082710836,-0.028869778869778928,3303
67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,0.26297577854671284,8032
70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,-0.2372013651877134,1311
71.0,Broderick St at Oak St,37.7730627,-122.4390777,-0.7155172413793103,945
72.0,Page St at Scott St,37.772406,-122.4356498,-0.19324577861163217,1169
73.0,Pierce St at Haight St,37.7717933,-122.4337079,-0.0782029950083194,1249
74.0,Laguna St at Hayes St,37.776434819204745,-122.42624402046204,-0.03370786516853941,2172
75.0,Market St at Franklin St,37.7737932060887,-122.42123901844025,-0.05718475073313778,1403
